Lead_id,Customer_id,Campaign_id,Branch_id,Lead_date,Lead_source,Lead_status,Assigned_Salesperson_id,Expected_budget,Interested_car_Segment,Conversion_date
72,137,8,4,2023-12-18,Walk-in,Qualified,NULL,2425098.32,Hatchback,NULL
73,1121,2,3,2024-01-06,Website,Qualified,NULL,3633249.18,SUV,NULL
74,525,NULL,4,2024-01-03,Referral,Converted,NULL,1958479.37,Hatchback,2024-03-03
75,844,15,8,2022-08-13,Referral,Converted,57,3688886.95,Hatchback,2022-09-20
76,227,5,6,2023-04-25,TV,Contacted,48,5051665.13,SUV,NULL
77,903,NULL,5,2023-12-12,Referral,Lost,39,1390007.73,Hatchback,NULL
78,991,NULL,1,2022-09-23,Walk-in,Converted,4,3115436.90,Sedan,2022-10-24
79,394,NULL,5,2023-06-06,Google,Qualified,NULL,4388108.54,SUV,NULL
80,831,5,3,2022-05-14,TV,Open,24,483319.64,Hatchback,NULL
81,567,14,8,2022-07-30,Walk-in,Lost,57,5302117.65,Luxury,NULL
82,553,4,8,2023-05-04,Website,Lost,57,5874754.99,Luxury,NULL
83,859,9,4,2022-12-06,Walk-in,Qualified,NULL,4774475.92,Sedan,NULL
84,378,NULL,3,2024-07-05,Email,Contacted,24,1477786.15,SUV,NULL
85,1008,NULL,4,2024-09-03,Google,Qualified,NULL,5326778.14,SUV,NULL
86,687,3,2,2022-11-25,Email,Converted,16,3949813.65,Hatchback,2022-12-15
87,273,NULL,1,2023-01-20,Website,Converted,4,2089580.41,Luxury,2023-03-17
88,431,1,1,2022-09-14,Walk-in,Lost,6,2656348.55,Sedan,NULL
89,574,4,7,2023-11-25,Facebook,Lost,NULL,3851463.47,SUV,NULL
90,983,15,6,2022-08-22,Google,Lost,NULL,2045039.19,Sedan,NULL
91,657,3,7,2024-10-16,Facebook,Lost,50,5374229.72,SUV,NULL
92,182,9,7,2022-08-11,Website,Qualified,54,1434721.31,SUV,NULL
93,72,2,6,2023-06-16,TV,Qualified,46,3000549.11,Hatchback,NULL
94,730,5,2,2022-05-25,Email,Converted,11,5279312.75,Sedan,2022-06-14
95,1012,2,3,2024-05-18,Facebook,Lost,24,3744096.60,Hatchback,NULL
96,731,NULL,6,2022-07-27,Website,Contacted,NULL,2714085.85,SUV,NULL
97,443,11,6,2024-05-14,Google,Contacted,44,4347737.34,SUV,NULL
98,108,5,8,2024-04-01,Walk-in,Lost,60,4986825.46,SUV,NULL
99,887,5,4,2023-04-17,TV,Contacted,32,4873259.53,SUV,NULL
100,1191,NULL,4,2024-11-08,Facebook,Qualified,33,4921655.07,SUV,NULL
101,459,NULL,4,2023-11-25,Referral,Lost,33,1658266.45,SUV,NULL
102,165,NULL,7,2024-07-05,Referral,Converted,54,3335365.87,Sedan,2024-08-10
103,923,1,8,2022-05-10,Facebook,Converted,57,5087925.18,SUV,2022-05-22
104,807,NULL,8,2022-06-18,Facebook,Lost,58,2319870.47,SUV,NULL
105,1139,5,1,2023-12-20,TV,Open,7,4666376.63,SUV,NULL
106,1095,11,2,2022-09-08,Google,Contacted,16,1194417.50,SUV,NULL
107,59,2,3,2022-12-07,Facebook,Qualified,NULL,4890913.22,SUV,NULL
108,448,1,2,2022-04-12,TV,Qualified,14,889012.05,SUV,NULL
109,239,5,3,2023-06-07,Facebook,Converted,25,1243900.30,SUV,2023-06-26
110,1167,13,8,2023-01-01,Facebook,Converted,57,3267132.09,Hatchback,2023-01-31
111,896,1,5,2022-09-22,TV,Qualified,42,5846378.96,Sedan,NULL
112,95,NULL,7,2023-07-09,Walk-in,Lost,54,3583541.90,SUV,NULL
113,1092,8,7,2022-06-11,Facebook,Converted,54,3303007.60,Luxury,2022-06-18
114,360,4,5,2024-02-17,Walk-in,Lost,42,637153.61,Sedan,NULL
115,950,6,3,2024-03-12,Website,Converted,21,1776376.58,Luxury,2024-04-17
116,1094,12,6,2024-08-19,Walk-in,Converted,47,1969049.70,SUV,2024-09-10
117,1032,1,1,2024-05-31,Website,Contacted,6,3280976.79,Luxury,NULL
118,1050,NULL,6,2024-04-09,TV,Contacted,NULL,3217149.06,SUV,NULL
119,848,13,8,2023-11-13,Website,Contacted,58,4873697.24,SUV,NULL
120,85,7,2,2023-03-04,Walk-in,Lost,17,5599796.69,SUV,NULL
121,229,12,8,2023-08-08,Email,Converted,NULL,4544150.77,SUV,2023-09-14
122,409,9,1,2023-03-24,Facebook,Qualified,4,5329742.73,Hatchback,NULL
123,584,NULL,2,2022-10-28,Walk-in,Converted,16,2178098.00,Sedan,2022-12-14
124,790,NULL,4,2024-03-11,Website,Lost,29,5532051.90,Hatchback,NULL
125,288,NULL,4,2022-04-30,Google,Converted,28,3155682.88,SUV,2022-06-08
126,1125,NULL,1,2023-09-11,Referral,Qualified,NULL,4528170.43,SUV,NULL
127,95,NULL,2,2022-12-24,Website,Qualified,19,4946376.04,SUV,NULL
128,1013,12,6,2022-01-15,Walk-in,Lost,48,1126800.62,Hatchback,NULL
129,50,4,8,2022-01-30,TV,Qualified,57,439442.64,SUV,NULL
130,660,12,8,2023-08-31,Referral,Open,NULL,5899025.40,SUV,NULL
131,1103,14,7,2024-05-15,TV,Lost,50,2822823.04,Sedan,NULL
132,489,12,1,2023-03-23,Email,Lost,NULL,5539840.79,SUV,NULL
133,407,NULL,7,2022-05-24,Website,Converted,53,828651.32,Sedan,2022-06-19
134,862,11,6,2022-08-09,Facebook,Lost,48,3813458.32,Sedan,NULL
135,310,NULL,3,2022-12-03,Email,Open,25,3644764.80,Luxury,NULL
136,703,NULL,4,2022-10-29,Walk-in,Converted,33,3755385.53,SUV,2022-11-05
137,15,4,3,2022-10-18,Referral,Converted,25,2079992.31,SUV,2022-11-23
138,486,NULL,2,2023-09-25,Website,Open,NULL,1539325.41,SUV,NULL
139,552,6,4,2024-09-21,Website,Contacted,28,3177203.81,Sedan,NULL
140,539,8,1,2022-11-15,Website,Contacted,4,709606.99,Hatchback,NULL
141,900,NULL,2,2022-01-22,Website,Contacted,19,4342400.39,Hatchback,NULL
142,492,NULL,2,2022-02-27,Referral,Converted,NULL,2084551.20,Sedan,2022-03-22
143,799,1,7,2022-11-19,Facebook,Lost,50,3469725.65,SUV,NULL
144,959,NULL,7,2022-06-29,Referral,Converted,50,1447031.83,Luxury,2022-07-10
145,41,13,8,2024-01-22,Google,Lost,59,4255663.55,Luxury,NULL
146,130,1,3,2023-12-06,Email,Lost,24,941406.63,SUV,NULL
147,1142,14,6,2022-09-01,Website,Contacted,45,546416.90,Hatchback,NULL
148,854,NULL,6,2023-07-16,Facebook,Open,NULL,3233526.81,SUV,NULL
149,685,2,8,2022-01-30,Google,Contacted,57,1579838.33,Hatchback,NULL
150,1073,NULL,8,2023-11-10,Email,Qualified,58,3324380.93,Sedan,NULL
151,237,11,4,2023-10-21,Facebook,Open,33,733813.43,SUV,NULL
152,977,3,4,2023-03-16,Website,Contacted,33,531503.95,Hatchback,NULL
153,636,12,6,2024-08-27,Google,Converted,NULL,5298306.20,SUV,2024-09-09
154,1040,NULL,1,2023-06-25,Walk-in,Open,7,1631081.45,SUV,NULL
155,1198,NULL,3,2023-09-22,Google,Lost,24,2756017.86,Sedan,NULL
156,477,4,1,2023-07-12,Google,Contacted,NULL,4131698.76,SUV,NULL
157,695,2,2,2024-01-08,Referral,Converted,11,5289119.26,Hatchback,2024-01-20
158,739,NULL,1,2023-07-20,Referral,Converted,7,4732295.68,SUV,2023-08-04
159,488,3,4,2024-02-20,TV,Converted,33,2309694.53,SUV,2024-04-17
160,321,NULL,1,2022-02-06,Website,Lost,6,4974131.71,SUV,NULL
161,314,6,2,2023-03-11,Google,Converted,17,825689.88,Hatchback,2023-04-06
162,204,2,3,2022-04-02,Walk-in,Contacted,24,3236091.82,Sedan,NULL
163,38,14,8,2022-06-04,Google,Lost,57,574575.61,SUV,NULL
164,452,NULL,8,2023-05-10,Website,Lost,57,933857.19,Sedan,NULL
165,494,NULL,8,2023-10-19,Website,Lost,58,5638833.18,SUV,NULL
166,205,NULL,3,2023-06-08,Email,Converted,21,1154456.70,SUV,2023-07-12
167,685,NULL,2,2023-04-12,Website,Lost,17,5737527.23,Sedan,NULL
168,1087,6,8,2024-11-24,TV,Converted,NULL,2339904.76,SUV,2024-12-31
169,78,NULL,3,2024-06-07,Website,Contacted,22,3381889.46,SUV,NULL
170,149,4,5,2023-08-08,Facebook,Lost,NULL,3115546.12,SUV,NULL
171,408,14,3,2022-01-12,Website,Converted,NULL,4884322.74,SUV,2022-02-13
172,12,NULL,6,2023-01-22,TV,Contacted,45,1925725.61,Hatchback,NULL
173,1162,9,3,2024-03-07,Facebook,Contacted,25,5476551.19,Hatchback,NULL
174,539,1,3,2022-02-13,Website,Open,25,4858920.77,Sedan,NULL
175,186,11,5,2022-01-26,Facebook,Qualified,42,2846883.15,Hatchback,NULL
176,853,NULL,5,2024-11-02,Website,Lost,42,2268074.47,Sedan,NULL
177,535,NULL,8,2023-11-21,Google,Open,58,3505784.83,SUV,NULL
178,1093,15,7,2022-06-14,Website,Qualified,55,4231135.81,SUV,NULL
179,60,13,3,2024-09-19,Walk-in,Qualified,24,3390610.22,Sedan,NULL
180,1065,NULL,4,2024-06-28,Walk-in,Contacted,NULL,1516676.91,Sedan,NULL
181,318,NULL,8,2022-05-05,Website,Contacted,NULL,1187401.39,Luxury,NULL
182,600,7,6,2023-12-04,Facebook,Lost,46,681749.57,Sedan,NULL
183,508,9,2,2024-10-29,Website,Contacted,11,2224359.50,SUV,NULL
184,191,11,3,2024-08-28,Website,Lost,NULL,5459782.85,Hatchback,NULL
185,1174,5,8,2022-07-06,Facebook,Converted,58,5264762.71,SUV,2022-08-30
186,296,1,7,2022-11-03,Google,Lost,NULL,931636.68,Hatchback,NULL
187,534,13,4,2024-08-24,Walk-in,Converted,32,5002555.81,SUV,2024-09-08
188,596,2,5,2022-08-23,Google,Lost,42,1020208.70,SUV,NULL
189,922,NULL,3,2022-10-22,TV,Lost,NULL,1455597.91,SUV,NULL
190,849,9,6,2022-08-04,Referral,Contacted,48,5553926.88,SUV,NULL
191,918,11,8,2023-07-18,Website,Qualified,NULL,4042411.25,SUV,NULL
192,761,7,4,2023-04-10,Facebook,Lost,31,4735345.40,Sedan,NULL
193,473,3,2,2023-08-22,Website,Open,19,3803449.52,Sedan,NULL
194,423,NULL,5,2022-12-18,TV,Converted,NULL,2598263.69,Hatchback,2022-12-25
195,102,6,6,2024-10-15,Website,Contacted,44,2603384.23,Sedan,NULL
196,295,1,4,2023-09-03,Walk-in,Converted,33,1964318.92,Hatchback,2023-09-19
197,1199,15,7,2023-07-27,Facebook,Converted,NULL,2437529.83,SUV,2023-09-19
198,689,NULL,3,2022-08-04,TV,Contacted,24,5054177.80,SUV,NULL
199,167,NULL,3,2024-04-18,TV,Open,21,916611.18,Sedan,NULL
200,449,3,2,2024-07-26,Referral,Converted,NULL,3702382.13,SUV,2024-08-17
201,544,12,3,2022-02-19,TV,Qualified,NULL,5855911.50,SUV,NULL
202,794,8,2,2024-06-10,Walk-in,Qualified,16,3623431.02,SUV,NULL
203,103,NULL,4,2022-03-21,Walk-in,Qualified,34,1563648.83,Hatchback,NULL
204,1138,2,8,2024-10-21,Facebook,Contacted,58,1637607.62,Hatchback,NULL
205,223,8,2,2024-02-26,Walk-in,Lost,NULL,3345319.81,Sedan,NULL
206,673,NULL,2,2022-04-09,Website,Lost,NULL,3897972.52,Hatchback,NULL
207,615,NULL,7,2023-12-04,Google,Open,50,4187867.00,SUV,NULL
208,336,14,7,2022-07-23,Website,Qualified,54,5832125.56,Luxury,NULL
209,1116,15,3,2024-03-17,Facebook,Converted,25,2790510.73,SUV,2024-04-17
210,876,7,7,2023-04-17,Google,Contacted,50,4826275.61,SUV,NULL
211,754,1,5,2022-08-22,Referral,Converted,42,684959.67,Hatchback,2022-09-14
212,306,NULL,3,2022-01-10,Google,Converted,20,3184768.36,SUV,2022-02-19
213,1030,NULL,7,2022-09-11,Google,Contacted,50,2787796.11,Hatchback,NULL
214,351,1,3,2022-02-23,Walk-in,Converted,24,5109331.43,Sedan,2022-04-11
215,847,8,6,2024-06-05,Website,Converted,NULL,2387244.83,SUV,2024-06-11
216,612,NULL,4,2023-02-08,TV,Contacted,NULL,4171868.24,SUV,NULL
217,52,12,2,2023-01-19,TV,Converted,17,1827081.84,SUV,2023-02-19
218,911,NULL,5,2022-12-10,Facebook,Converted,42,5726668.94,SUV,2023-01-25
219,936,14,6,2023-09-07,Facebook,Open,45,5149314.89,Sedan,NULL
220,671,NULL,7,2024-07-29,Referral,Converted,NULL,1020334.02,SUV,2024-08-05
221,880,1,8,2023-04-21,Google,Contacted,NULL,560918.78,Hatchback,NULL
222,918,8,7,2024-02-24,Email,Open,50,4030773.77,Sedan,NULL
223,881,3,4,2024-11-13,Walk-in,Contacted,29,3773561.08,Hatchback,NULL
224,533,NULL,7,2023-01-16,Referral,Contacted,55,1348386.54,Sedan,NULL
225,54,2,2,2023-01-23,Facebook,Qualified,13,4289427.40,Hatchback,NULL
226,798,12,4,2024-05-13,Website,Lost,33,4066128.67,Hatchback,NULL
227,303,10,8,2024-01-30,Referral,Lost,58,4467239.88,SUV,NULL
228,204,4,1,2024-04-10,Walk-in,Contacted,6,2450696.26,SUV,NULL
229,594,10,1,2024-04-28,Facebook,Lost,6,1120134.77,SUV,NULL
230,968,5,5,2022-05-01,Facebook,Lost,41,2773850.83,Luxury,NULL
231,111,NULL,7,2024-08-14,Facebook,Lost,51,1196538.28,SUV,NULL
232,992,1,6,2023-01-27,Email,Lost,43,4278657.72,SUV,NULL
233,699,13,5,2023-01-05,Email,Lost,36,3582886.67,Luxury,NULL
234,1011,9,1,2022-03-04,Website,Open,7,1323926.17,Luxury,NULL
235,856,NULL,5,2023-09-09,Walk-in,Open,38,1549362.41,Hatchback,NULL
236,29,12,7,2024-01-17,Facebook,Contacted,NULL,1463854.37,Sedan,NULL
237,1151,2,4,2023-09-04,Google,Converted,31,4010666.39,Sedan,2023-09-27
238,997,12,6,2022-06-23,Referral,Contacted,45,2955821.43,Hatchback,NULL
239,177,4,3,2022-08-26,TV,Qualified,NULL,1815054.92,SUV,NULL
240,817,NULL,8,2023-07-15,Walk-in,Qualified,58,618896.15,Sedan,NULL
241,786,5,2,2024-07-08,Walk-in,Contacted,17,5469017.99,SUV,NULL
242,539,13,3,2024-02-26,Website,Lost,NULL,5209575.69,Luxury,NULL
243,656,NULL,3,2022-09-27,Referral,Contacted,22,4682511.79,Hatchback,NULL
244,952,11,6,2022-03-27,Website,Converted,43,1320455.88,Sedan,2022-04-01
245,841,8,4,2023-07-16,Website,Contacted,29,2873088.26,SUV,NULL
246,299,6,6,2024-02-25,Facebook,Lost,48,621797.03,Luxury,NULL
247,969,4,5,2024-06-22,Google,Lost,40,5522974.47,Hatchback,NULL
248,1086,NULL,7,2023-12-15,Email,Converted,50,599419.90,SUV,2024-02-04
249,679,7,2,2023-11-16,Website,Qualified,19,3834898.90,SUV,NULL
250,433,2,3,2022-10-29,Referral,Lost,20,1343887.21,Hatchback,NULL
251,665,5,8,2024-03-30,Website,Converted,57,4913866.27,Sedan,2024-04-18
252,1108,6,1,2024-03-03,Facebook,Qualified,6,3284239.27,SUV,NULL
253,1185,10,5,2023-07-28,Google,Qualified,40,4633261.23,Hatchback,NULL
254,750,1,6,2022-09-29,Walk-in,Lost,43,5522677.83,SUV,NULL
255,1018,4,1,2024-10-27,Google,Qualified,10,1634296.16,Hatchback,NULL
256,794,NULL,8,2024-07-08,Walk-in,Contacted,57,1710798.42,Sedan,NULL
257,296,NULL,8,2022-08-01,Google,Contacted,57,4335401.75,SUV,NULL
258,1149,5,1,2023-09-15,TV,Qualified,4,944240.97,SUV,NULL
259,230,14,6,2023-09-09,Referral,Qualified,NULL,4614532.01,Hatchback,NULL
260,612,NULL,2,2022-02-07,Referral,Open,NULL,924217.39,Hatchback,NULL
261,210,8,8,2024-09-29,Website,Converted,57,933872.73,Sedan,2024-11-21
262,807,4,8,2022-12-19,Walk-in,Open,59,4816564.80,Hatchback,NULL
263,622,NULL,2,2022-11-21,Walk-in,Lost,NULL,5791906.90,Luxury,NULL
264,421,NULL,5,2023-02-14,Website,Contacted,36,1275685.62,Hatchback,NULL
265,490,3,7,2024-05-20,Facebook,Qualified,50,3817401.15,SUV,NULL
266,1028,NULL,4,2024-02-23,Website,Lost,33,3328359.15,Hatchback,NULL
267,1040,NULL,4,2022-06-24,Google,Converted,28,3340747.19,Luxury,2022-08-18
268,69,5,7,2022-08-20,Email,Qualified,NULL,4790524.16,SUV,NULL
269,976,4,3,2023-06-30,Google,Qualified,21,5826491.47,SUV,NULL
270,574,13,1,2024-11-06,Google,Lost,7,3941366.61,SUV,NULL
271,1170,11,5,2024-07-06,Referral,Lost,NULL,1795098.92,Hatchback,NULL
272,338,11,2,2023-05-21,Website,Qualified,17,3295303.85,SUV,NULL
273,592,6,7,2022-11-03,Google,Contacted,55,4439886.13,Sedan,NULL
274,735,3,7,2022-06-20,Google,Converted,50,1948537.11,Sedan,2022-08-10
275,1070,2,3,2023-11-26,Facebook,Open,24,866872.48,SUV,NULL
276,974,5,5,2022-04-30,Website,Contacted,42,2732365.06,Sedan,NULL
277,866,7,1,2023-06-10,Facebook,Contacted,NULL,551589.89,Hatchback,NULL
278,949,NULL,7,2022-01-21,Email,Qualified,50,1619570.95,SUV,NULL
279,1084,5,8,2024-02-10,Website,Lost,57,4475940.69,Luxury,NULL
280,380,12,3,2023-06-11,Walk-in,Lost,21,5140720.47,SUV,NULL
281,845,NULL,2,2022-10-01,TV,Lost,12,1965687.95,SUV,NULL
282,1134,10,5,2024-10-31,Walk-in,Qualified,NULL,2679498.25,SUV,NULL
283,364,NULL,6,2024-04-02,Email,Lost,43,2782181.71,SUV,NULL
284,385,13,7,2024-10-27,Email,Lost,54,1945057.29,Hatchback,NULL
285,793,7,4,2024-05-08,Google,Open,32,1020740.94,SUV,NULL
286,1029,8,7,2023-09-06,Facebook,Lost,55,2501835.07,Hatchback,NULL
287,34,NULL,3,2023-05-06,Website,Contacted,NULL,2640143.70,SUV,NULL
288,1147,13,8,2023-11-09,Email,Lost,NULL,2235475.68,SUV,NULL
289,749,2,3,2022-02-09,Website,Lost,24,4364233.61,Sedan,NULL
290,746,14,1,2023-11-27,Google,Open,NULL,4818006.45,SUV,NULL
291,45,NULL,7,2024-04-14,Walk-in,Lost,50,1275763.19,Sedan,NULL
292,1187,11,2,2023-11-21,Email,Lost,13,2498061.11,SUV,NULL
293,346,7,7,2024-04-04,Email,Converted,51,4136129.69,SUV,2024-05-10
294,192,9,7,2023-12-18,Google,Converted,54,5029082.49,SUV,2023-12-28
295,750,NULL,4,2024-02-26,Google,Lost,31,1634348.60,Luxury,NULL
296,796,NULL,5,2023-08-07,Facebook,Contacted,38,1703569.57,SUV,NULL
297,882,NULL,8,2023-07-04,Google,Converted,60,761343.14,SUV,2023-07-29
298,818,2,7,2022-01-07,Facebook,Qualified,50,3263792.70,SUV,NULL
299,856,13,2,2024-08-22,Email,Contacted,NULL,2532820.46,Hatchback,NULL
300,583,NULL,8,2023-04-11,Walk-in,Contacted,57,2955795.00,SUV,NULL
301,275,NULL,8,2023-02-19,Walk-in,Converted,NULL,2793129.02,SUV,2023-03-31
302,625,6,3,2022-08-05,Facebook,Converted,24,3659355.72,SUV,2022-09-11
303,546,9,7,2023-08-29,Google,Converted,50,2593875.43,SUV,2023-09-07
304,622,15,6,2023-12-13,Email,Converted,48,1503229.92,SUV,2024-01-06
305,869,NULL,8,2022-09-26,Facebook,Qualified,57,519482.88,Luxury,NULL
306,465,NULL,8,2024-04-04,Website,Converted,58,3869149.59,SUV,2024-05-08
307,423,NULL,8,2024-03-16,Facebook,Lost,58,2687762.74,Luxury,NULL
308,1024,13,2,2024-09-14,Website,Contacted,17,5918851.81,SUV,NULL
309,904,NULL,6,2022-08-21,Walk-in,Lost,44,4883735.52,SUV,NULL
310,120,3,2,2022-03-13,Facebook,Converted,NULL,5250857.99,Sedan,2022-04-11
311,860,NULL,3,2024-07-20,Google,Lost,NULL,5888456.44,Hatchback,NULL
312,365,4,8,2023-02-13,Walk-in,Qualified,57,2754315.05,SUV,NULL
313,147,NULL,1,2022-04-02,Facebook,Lost,4,2968526.00,Luxury,NULL
314,865,11,5,2024-08-17,Google,Open,42,3440961.63,Luxury,NULL
315,524,5,2,2024-02-22,Website,Open,17,406475.76,SUV,NULL
316,806,3,6,2023-02-15,Walk-in,Contacted,48,3251561.01,Sedan,NULL
317,688,3,3,2022-09-16,Google,Converted,24,4848547.59,SUV,2022-10-28
318,980,5,2,2023-09-01,Website,Lost,17,414043.14,Luxury,NULL
319,295,7,8,2022-12-21,Walk-in,Lost,58,2739471.42,Luxury,NULL
320,57,NULL,2,2024-09-28,Referral,Contacted,17,1008661.80,Sedan,NULL
321,544,6,4,2024-03-24,Google,Lost,33,4176359.28,SUV,NULL
322,833,6,2,2023-04-06,Facebook,Qualified,19,1257460.34,Luxury,NULL
323,79,14,2,2022-02-26,Walk-in,Contacted,19,537165.98,SUV,NULL
324,781,NULL,5,2024-09-20,Facebook,Converted,36,1890163.25,Hatchback,2024-11-05
325,1144,12,8,2023-09-11,Walk-in,Lost,58,5582639.70,Sedan,NULL
326,584,NULL,8,2024-01-26,Website,Converted,60,2631210.33,Hatchback,2024-02-08
327,483,3,6,2022-01-21,Walk-in,Lost,NULL,3106382.36,Sedan,NULL
328,82,NULL,3,2022-07-29,Website,Converted,20,3514801.95,Hatchback,2022-09-12
329,975,14,6,2022-06-05,TV,Lost,NULL,3396880.10,Luxury,NULL
